S1,S2,S3,S4,Clase
0,0,2257,0,Pinza
0,0,2294,0,Pinza
0,0,2272,0,Pinza
0,0,2284,0,Pinza
0,0,2234,0,Pinza
533,0,2269,0,Pinza
54,0,2271,0,Pinza
0,0,2256,0,Pinza
0,0,2275,0,Pinza
0,0,2273,0,Pinza
0,0,2245,0,Pinza
0,0,2271,0,Pinza
0,0,2239,0,Pinza
0,0,2253,0,Pinza
0,0,2273,0,Pinza
0,0,2279,0,Pinza
0,0,2258,0,Pinza
200,0,2268,0,Pinza
14,0,2277,0,Pinza
0,0,2257,0,Pinza
0,0,2257,0,Pinza
0,0,2272,0,Pinza
0,0,2222,0,Pinza
0,0,2302,21,Pinza
0,0,2275,183,Pinza
0,0,2243,453,Pinza
0,0,2243,401,Pinza
0,0,2251,258,Pinza
0,0,2257,177,Pinza
0,0,2256,287,Pinza
0,0,2260,412,Pinza
0,0,2259,338,Pinza
0,0,2256,416,Pinza
208,0,2275,304,Pinza
0,0,2275,286,Pinza
0,0,2215,225,Pinza
0,0,2278,163,Pinza
0,0,2261,106,Pinza
0,0,2281,113,Pinza
0,0,2256,159,Pinza
0,0,2260,161,Pinza
0,0,2254,150,Pinza
0,0,2251,112,Pinza
0,0,2241,165,Pinza
0,0,2274,149,Pinza
0,0,2274,69,Pinza
0,0,2250,37,Pinza
0,0,2246,0,Pinza
0,0,2255,51,Pinza
784,0,2256,28,Pinza
171,0,2228,0,Pinza
0,0,2305,0,Pinza
0,0,2277,0,Pinza
0,0,2250,0,Pinza
0,0,2236,0,Pinza
0,0,2257,0,Pinza
0,0,2239,0,Pinza
0,0,2259,0,Pinza
767,0,2263,11,Pinza
181,0,2256,21,Pinza
0,0,2257,29,Pinza
0,0,2282,0,Pinza
0,0,2238,0,Pinza
0,0,2229,0,Pinza
0,0,2259,0,Pinza
0,0,2242,0,Pinza
0,0,2247,0,Pinza
0,0,2279,0,Pinza
0,0,2276,0,Pinza
0,0,2290,0,Pinza
0,0,2273,0,Pinza
0,0,2227,48,Pinza
0,0,2291,0,Pinza
0,0,2251,0,Pinza
0,0,2239,0,Pinza
0,0,2241,0,Pinza
0,0,2246,0,Pinza
0,0,2256,0,Pinza
0,0,2268,0,Pinza
0,0,2224,0,Pinza
0,0,2256,0,Pinza
0,0,2284,0,Pinza
0,0,2258,0,Pinza
0,0,2272,0,Pinza
0,0,2262,0,Pinza
0,0,2271,0,Pinza
0,0,2250,0,Pinza
0,0,2238,0,Pinza
0,0,2235,0,Pinza
492,0,2246,0,Pinza
452,0,2273,0,Pinza
68,0,2251,0,Pinza
0,0,2266,0,Pinza
0,0,2257,0,Pinza
0,0,2263,0,Pinza
0,0,2287,161,Pinza
0,0,2239,423,Pinza
0,0,2261,239,Pinza
0,0,2254,87,Pinza
