S1,S2,S3,S4,Clase
2293,805,0,48,Cerrar
2857,1426,0,0,Cerrar
2529,1456,0,22,Cerrar
2893,1247,0,31,Cerrar
2694,1035,0,26,Cerrar
3203,1317,102,0,Cerrar
2915,994,0,33,Cerrar
2658,1726,16,0,Cerrar
2411,1163,0,48,Cerrar
2894,1257,91,1,Cerrar
2460,985,31,0,Cerrar
3232,987,156,0,Cerrar
2906,1038,0,0,Cerrar
2391,898,0,0,Cerrar
2800,1005,0,0,Cerrar
3039,1296,0,0,Cerrar
2122,1195,0,70,Cerrar
2188,921,0,0,Cerrar
2659,1386,33,0,Cerrar
2935,2041,144,39,Cerrar
2649,1187,70,0,Cerrar
2482,1019,0,45,Cerrar
3259,1209,215,75,Cerrar
2799,955,10,66,Cerrar
2395,1279,0,0,Cerrar
2322,723,0,0,Cerrar
2591,370,0,38,Cerrar
2590,1265,0,107,Cerrar
2651,528,0,169,Cerrar
2978,779,61,21,Cerrar
2545,592,0,0,Cerrar
2823,1451,0,0,Cerrar
2831,1264,0,45,Cerrar
2099,880,21,8,Cerrar
2378,851,0,0,Cerrar
3299,634,204,0,Cerrar
3283,1112,206,0,Cerrar
3005,747,161,0,Cerrar
2816,815,0,0,Cerrar
2126,961,86,0,Cerrar
2326,703,42,0,Cerrar
2143,881,0,0,Cerrar
2224,494,0,64,Cerrar
3254,797,195,81,Cerrar
3235,377,48,0,Cerrar
3269,1350,128,0,Cerrar
2883,880,13,90,Cerrar
3243,1319,104,43,Cerrar
3231,840,27,82,Cerrar
3181,695,51,119,Cerrar
2933,931,0,176,Cerrar
2413,1109,0,127,Cerrar
2559,1017,0,134,Cerrar
2365,1095,0,151,Cerrar
2639,1239,0,125,Cerrar
2773,1601,46,57,Cerrar
2589,1639,64,91,Cerrar
2718,1562,0,150,Cerrar
2914,1382,28,123,Cerrar
3264,1376,159,144,Cerrar
3278,1040,144,142,Cerrar
3245,1297,155,46,Cerrar
3056,1315,112,48,Cerrar
3280,1065,89,64,Cerrar
2737,1212,0,27,Cerrar
2256,1181,0,163,Cerrar
2358,982,0,534,Cerrar
2795,816,0,885,Cerrar
2558,859,0,1109,Cerrar
2331,581,0,977,Cerrar
2258,777,0,737,Cerrar
2739,797,0,634,Cerrar
2546,1023,0,379,Cerrar
2594,618,0,292,Cerrar
2283,608,0,227,Cerrar
2518,397,11,240,Cerrar
2781,1275,45,410,Cerrar
2815,894,0,305,Cerrar
2747,687,0,229,Cerrar
2559,752,0,338,Cerrar
3315,1458,116,162,Cerrar
3094,761,0,217,Cerrar
3246,1151,59,158,Cerrar
3123,1144,91,138,Cerrar
2859,1171,0,160,Cerrar
3188,1194,64,125,Cerrar
2815,1045,103,154,Cerrar
2603,576,0,160,Cerrar
2608,1175,59,125,Cerrar
2682,1318,0,86,Cerrar
2736,1356,0,154,Cerrar
2419,732,0,43,Cerrar
2594,973,0,60,Cerrar
