S1,S2,S3,S4,Clase
2704,554,9,0,Abrir
2582,675,82,83,Abrir
3225,899,144,901,Abrir
3193,1085,204,1198,Abrir
2500,975,61,1122,Abrir
2970,765,161,1130,Abrir
2427,816,95,955,Abrir
1609,1040,48,779,Abrir
3250,944,316,1954,Abrir
2706,1212,0,1872,Abrir
2438,735,125,1622,Abrir
3119,1279,216,1344,Abrir
2455,1168,0,1631,Abrir
2067,1186,0,1473,Abrir
2099,1107,0,1166,Abrir
2415,1245,119,1152,Abrir
2054,1397,14,1136,Abrir
2704,840,141,668,Abrir
2672,706,213,202,Abrir
2099,526,0,7,Abrir
2654,646,74,11,Abrir
2132,336,0,0,Abrir
2783,1443,205,0,Abrir
2115,560,0,0,Abrir
1835,692,0,0,Abrir
2526,782,0,77,Abrir
3261,893,240,685,Abrir
2622,1168,283,1361,Abrir
1854,786,77,1332,Abrir
2171,892,0,1376,Abrir
1867,740,66,894,Abrir
2138,860,39,534,Abrir
3233,478,158,193,Abrir
2287,279,0,6,Abrir
2491,409,53,0,Abrir
2641,432,0,0,Abrir
2624,805,160,2,Abrir
1534,858,92,0,Abrir
3174,582,175,0,Abrir
3115,1170,117,0,Abrir
2550,641,167,0,Abrir
3008,831,375,0,Abrir
2923,432,20,0,Abrir
2479,681,0,0,Abrir
2535,581,11,0,Abrir
2624,826,97,0,Abrir
3210,827,0,0,Abrir
2832,715,3,0,Abrir
2854,1201,132,272,Abrir
2159,894,0,346,Abrir
2160,525,9,464,Abrir
2630,939,0,496,Abrir
2119,670,0,370,Abrir
1603,930,0,372,Abrir
1855,733,0,333,Abrir
2032,933,0,323,Abrir
2951,660,31,261,Abrir
2865,883,61,432,Abrir
1950,587,0,378,Abrir
2368,350,0,560,Abrir
2095,348,0,807,Abrir
2186,400,51,590,Abrir
2559,534,0,545,Abrir
2079,830,0,717,Abrir
2159,658,0,532,Abrir
1974,587,0,645,Abrir
1282,418,0,480,Abrir
1966,946,85,656,Abrir
2384,1557,269,583,Abrir
2130,756,0,592,Abrir
2288,622,0,491,Abrir
1968,503,0,476,Abrir
1517,464,0,528,Abrir
1391,578,0,739,Abrir
384,654,0,619,Abrir
1402,768,0,463,Abrir
1605,527,0,462,Abrir
1670,621,88,485,Abrir
1727,332,0,479,Abrir
1530,681,0,322,Abrir
2058,895,0,321,Abrir
2073,1360,30,462,Abrir
1612,636,16,511,Abrir
2178,464,85,469,Abrir
1569,16,163,423,Abrir
2096,784,80,222,Abrir
1840,823,0,189,Abrir
2179,207,0,208,Abrir
1626,359,0,175,Abrir
1701,480,0,370,Abrir
1980,304,17,333,Abrir
1629,1013,0,128,Abrir
2362,848,10,73,Abrir
3184,636,257,64,Abrir
3261,877,186,0,Abrir
2130,1168,2,0,Abrir
2213,245,16,0,Abrir
2111,451,82,49,Abrir
1712,741,0,0,Abrir
1712,813,13,0,Abrir
1495,1120,93,0,Abrir
2058,975,0,0,Abrir
1641,464,98,0,Abrir
2603,353,176,0,Abrir
2753,767,225,0,Abrir
2309,546,87,0,Abrir
2091,553,0,0,Abrir
2128,927,0,0,Abrir
1486,715,0,57,Abrir
2625,684,118,245,Abrir
3248,734,107,158,Abrir
3216,989,99,215,Abrir
2827,1162,0,215,Abrir
2230,894,0,193,Abrir
1908,1067,83,338,Abrir
1935,478,0,331,Abrir
1535,593,0,468,Abrir
1600,685,0,363,Abrir
1866,759,0,489,Abrir
2347,865,141,789,Abrir
2709,401,80,761,Abrir
2171,500,115,756,Abrir
1552,332,10,826,Abrir
2398,594,93,734,Abrir
1936,185,0,944,Abrir
2463,466,106,718,Abrir
2203,451,0,795,Abrir
1559,529,154,752,Abrir
1497,309,80,498,Abrir
734,272,23,495,Abrir
2021,58,0,481,Abrir
1521,410,25,415,Abrir
1943,586,50,464,Abrir
2118,843,0,477,Abrir
2277,1008,88,405,Abrir
1468,700,16,311,Abrir
2373,669,256,530,Abrir
2266,207,15,432,Abrir
2992,563,170,330,Abrir
2174,621,0,471,Abrir
2019,816,0,274,Abrir
801,822,0,390,Abrir
2654,823,176,279,Abrir
1988,561,39,251,Abrir
2162,609,0,147,Abrir
2087,995,0,400,Abrir
1884,871,0,256,Abrir
2130,430,0,352,Abrir
1586,299,0,375,Abrir
1766,529,49,138,Abrir
2006,641,74,16,Abrir
1839,804,28,0,Abrir
2032,594,0,0,Abrir
1621,429,0,0,Abrir
1904,405,0,0,Abrir
2242,471,0,0,Abrir
1918,675,0,0,Abrir
2319,479,2,0,Abrir
3290,734,67,0,Abrir
2939,424,32,0,Abrir
1981,644,80,0,Abrir
1587,656,118,0,Abrir
1878,779,0,0,Abrir
1996,400,61,14,Abrir
1709,535,171,203,Abrir
1730,429,0,285,Abrir
1837,662,112,195,Abrir
2266,1002,0,91,Abrir
1949,433,0,90,Abrir
1952,261,0,263,Abrir
1627,374,0,673,Abrir
2300,363,174,561,Abrir
2397,1083,129,540,Abrir
2579,942,110,448,Abrir
1669,855,49,511,Abrir
1825,531,2,601,Abrir
2778,503,93,678,Abrir
2461,590,0,768,Abrir
1960,706,160,649,Abrir
