S1,S2,S3,S4,Clase
0,0,2282,327,Pinza
240,0,2204,355,Pinza
5,0,2281,443,Pinza
0,0,2253,368,Pinza
0,0,2259,288,Pinza
0,0,2275,272,Pinza
0,0,2268,192,Pinza
0,0,2256,199,Pinza
0,0,2267,274,Pinza
0,0,2230,272,Pinza
0,0,2277,338,Pinza
0,0,2256,329,Pinza
0,0,2271,218,Pinza
0,0,2230,364,Pinza
0,0,2251,307,Pinza
0,0,2215,334,Pinza
0,0,2237,302,Pinza
499,0,2235,278,Pinza
112,0,2272,293,Pinza
0,0,2269,277,Pinza
0,0,2267,267,Pinza
0,0,2252,240,Pinza
0,0,2284,228,Pinza
0,0,2257,289,Pinza
0,0,2221,175,Pinza
0,0,2230,80,Pinza
476,0,2256,135,Pinza
141,0,2251,169,Pinza
319,0,2244,430,Pinza
64,0,2279,1038,Pinza
1249,0,2254,797,Pinza
305,0,2219,366,Pinza
346,0,2202,237,Pinza
666,0,2277,205,Pinza
145,0,2241,304,Pinza
0,0,2207,209,Pinza
0,0,2224,144,Pinza
0,0,2235,134,Pinza
0,0,2236,159,Pinza
640,0,2272,139,Pinza
701,0,2277,118,Pinza
133,0,2262,112,Pinza
0,0,2259,172,Pinza
0,0,2242,144,Pinza
0,0,2262,80,Pinza
0,0,2253,58,Pinza
789,0,2249,16,Pinza
213,0,2266,54,Pinza
0,0,2262,0,Pinza
846,0,2231,0,Pinza
192,0,2288,0,Pinza
865,0,2261,0,Pinza
553,0,2272,0,Pinza
128,0,2253,0,Pinza
234,0,2273,0,Pinza
9,0,2275,0,Pinza
537,0,2259,0,Pinza
135,0,2250,20,Pinza
0,0,2252,112,Pinza
0,0,2281,147,Pinza
0,0,2224,113,Pinza
0,0,2256,178,Pinza
0,0,2271,296,Pinza
486,0,2267,286,Pinza
75,0,2268,318,Pinza
0,0,2247,295,Pinza
0,0,2256,134,Pinza
0,0,2240,101,Pinza
0,0,2261,150,Pinza
0,0,2271,207,Pinza
0,0,2270,208,Pinza
0,0,2271,267,Pinza
0,0,2233,203,Pinza
0,0,2261,199,Pinza
0,0,2263,175,Pinza
925,0,2234,318,Pinza
182,0,2224,203,Pinza
0,0,2271,300,Pinza
0,0,2281,479,Pinza
0,0,2225,365,Pinza
0,0,2257,403,Pinza
0,0,2192,293,Pinza
0,0,2226,368,Pinza
0,0,2245,320,Pinza
281,0,2226,320,Pinza
1,0,2251,166,Pinza
0,0,2272,219,Pinza
0,0,2250,130,Pinza
0,0,2249,140,Pinza
0,0,2260,144,Pinza
0,0,2254,352,Pinza
556,0,2256,538,Pinza
81,0,2278,448,Pinza
0,0,2251,259,Pinza
0,0,2274,147,Pinza
0,0,2244,205,Pinza
0,0,2288,179,Pinza
0,0,2262,170,Pinza
0,0,2223,240,Pinza
92,0,2288,157,Pinza
0,0,2253,144,Pinza
0,0,2277,110,Pinza
207,0,2256,64,Pinza
47,0,2235,49,Pinza
738,0,2233,95,Pinza
190,0,2218,89,Pinza
6,0,2283,0,Pinza
302,0,2258,29,Pinza
31,0,2208,31,Pinza
531,0,2334,19,Pinza
95,0,2267,19,Pinza
0,0,2285,46,Pinza
0,0,2274,44,Pinza
0,0,2255,0,Pinza
0,0,2241,85,Pinza
480,0,2239,0,Pinza
129,0,2260,0,Pinza
0,0,2250,0,Pinza
0,0,2202,0,Pinza
0,0,2247,2,Pinza
0,0,2285,29,Pinza
0,0,2256,14,Pinza
222,0,2230,0,Pinza
64,0,2245,93,Pinza
0,0,2243,189,Pinza
0,0,2271,304,Pinza
577,0,2225,240,Pinza
150,0,2237,210,Pinza
0,0,2222,315,Pinza
0,0,2258,368,Pinza
0,0,2265,287,Pinza
0,0,2245,272,Pinza
792,0,2230,285,Pinza
806,0,2256,336,Pinza
229,0,2271,271,Pinza
31,0,2267,232,Pinza
0,0,2265,195,Pinza
0,0,2256,121,Pinza
0,0,2240,207,Pinza
67,0,2256,253,Pinza
23,0,2238,235,Pinza
0,0,2229,256,Pinza
631,0,2272,206,Pinza
420,0,2256,219,Pinza
81,0,2283,176,Pinza
0,0,2256,247,Pinza
0,0,2251,269,Pinza
0,0,2271,266,Pinza
0,0,2271,199,Pinza
0,0,2279,244,Pinza
851,0,2271,196,Pinza
208,0,2249,143,Pinza
749,0,2287,240,Pinza
112,0,2224,201,Pinza
542,0,2275,336,Pinza
511,0,2275,343,Pinza
675,0,2253,467,Pinza
848,0,2239,348,Pinza
787,0,2256,263,Pinza
631,0,2279,243,Pinza
496,0,2244,125,Pinza
954,0,2272,92,Pinza
456,0,2255,187,Pinza
122,0,2265,192,Pinza
0,0,2285,103,Pinza
0,0,2256,191,Pinza
0,0,2272,160,Pinza
0,0,2281,176,Pinza
0,0,2267,158,Pinza
0,0,2258,154,Pinza
917,0,2278,73,Pinza
211,0,2281,146,Pinza
1075,0,2230,119,Pinza
208,0,2252,146,Pinza
16,0,2310,87,Pinza
290,0,2224,32,Pinza
46,0,2263,6,Pinza
0,0,2268,0,Pinza
1058,0,2238,80,Pinza
565,0,2294,14,Pinza
491,0,2240,61,Pinza
714,0,2257,24,Pinza
150,0,2257,24,Pinza
816,0,2273,29,Pinza
190,0,2273,0,Pinza
0,0,2254,0,Pinza
0,0,2263,54,Pinza
0,0,2256,111,Pinza
503,0,2257,103,Pinza
688,0,2298,224,Pinza
142,0,2214,325,Pinza
0,0,2245,367,Pinza
0,0,2233,332,Pinza
0,0,2187,493,Pinza
240,0,2256,397,Pinza
37,0,2274,400,Pinza
177,0,2261,476,Pinza
302,0,2259,441,Pinza
48,0,2223,400,Pinza
260,0,2256,547,Pinza
68,0,2241,502,Pinza
0,0,2271,485,Pinza
0,0,2230,394,Pinza
0,89,2244,240,Pinza
0,0,2250,285,Pinza
0,0,2235,208,Pinza
0,0,2243,233,Pinza
881,0,2262,356,Pinza
346,0,2242,241,Pinza
327,0,2259,454,Pinza
589,0,2275,428,Pinza
715,0,2255,304,Pinza
186,0,2210,273,Pinza
33,0,2238,357,Pinza
0,0,2239,282,Pinza
277,0,2281,233,Pinza
304,0,2274,148,Pinza
95,0,2269,208,Pinza
16,0,2263,187,Pinza
0,0,2246,96,Pinza
0,0,2274,70,Pinza
0,0,2258,16,Pinza
0,0,2243,2,Pinza
0,0,2287,114,Pinza
0,0,2263,175,Pinza
0,0,2259,438,Pinza
0,0,2257,613,Pinza
0,0,2240,389,Pinza
224,0,2262,240,Pinza
6,0,2282,275,Pinza
259,0,2237,208,Pinza
637,0,2247,188,Pinza
110,0,2234,318,Pinza
0,235,2263,256,Pinza
340,0,2268,235,Pinza
663,122,2255,78,Pinza
464,0,2257,130,Pinza
97,0,2241,112,Pinza
0,0,2262,243,Pinza
0,0,2256,209,Pinza
243,0,2267,138,Pinza
379,0,2211,112,Pinza
560,0,2246,192,Pinza
493,0,2257,192,Pinza
736,444,2246,141,Pinza
232,35,2246,249,Pinza
902,0,2238,191,Pinza
240,0,2204,230,Pinza
0,0,2226,195,Pinza
12,0,2243,197,Pinza
0,0,2241,232,Pinza
0,17,2270,299,Pinza
237,0,2234,321,Pinza
0,0,2245,721,Pinza
0,0,2303,657,Pinza
176,0,2247,563,Pinza
66,0,2257,644,Pinza
0,0,2235,581,Pinza
0,0,2262,596,Pinza
789,0,2254,602,Pinza
256,0,2256,495,Pinza
86,0,2267,608,Pinza
16,0,2244,563,Pinza
14,0,2231,902,Pinza
656,0,2271,871,Pinza
161,0,2266,683,Pinza
91,0,2256,1001,Pinza
45,147,2243,730,Pinza
21,0,2230,557,Pinza
10,0,2258,665,Pinza
23,0,2256,873,Pinza
865,0,2267,874,Pinza
224,0,2257,720,Pinza
87,0,2253,816,Pinza
42,0,2257,864,Pinza
279,0,2227,732,Pinza
357,0,2256,656,Pinza
412,0,2239,607,Pinza
324,0,2247,464,Pinza
672,0,2274,605,Pinza
1134,0,2291,771,Pinza
321,0,2274,705,Pinza
61,0,2261,511,Pinza
0,0,2278,384,Pinza
11,0,2251,376,Pinza
0,0,2247,253,Pinza
197,0,2270,350,Pinza
25,0,2285,335,Pinza
0,0,2229,244,Pinza
0,0,2277,329,Pinza
0,0,2253,426,Pinza
19,0,2304,745,Pinza
573,0,2237,651,Pinza
135,0,2250,591,Pinza
0,0,2274,315,Pinza
496,0,2281,396,Pinza
101,0,2246,386,Pinza
0,0,2258,274,Pinza
0,0,2261,291,Pinza
0,0,2273,192,Pinza
0,0,2224,80,Pinza
0,0,2240,226,Pinza
224,0,2243,172,Pinza
0,0,2286,346,Pinza
282,0,2229,239,Pinza
1200,0,2240,221,Pinza
323,0,2254,331,Pinza
0,0,2247,243,Pinza
16,0,2270,334,Pinza
179,0,2279,411,Pinza
578,0,2224,329,Pinza
359,0,2242,178,Pinza
43,0,2240,94,Pinza
3,0,2287,12,Pinza
506,0,2249,181,Pinza
125,0,2247,89,Pinza
654,0,2283,133,Pinza
133,0,2262,176,Pinza
342,0,2227,773,Pinza
61,0,2261,930,Pinza
13,0,2262,778,Pinza
0,0,2245,735,Pinza
253,0,2256,635,Pinza
401,0,2297,912,Pinza
93,0,2242,962,Pinza
32,0,2230,910,Pinza
0,0,2256,743,Pinza
35,0,2297,822,Pinza
