S1,S2,S3,S4,Clase
40,0,2253,906,Abrir
1104,2,2253,825,Abrir
1648,571,2267,960,Abrir
914,230,2265,930,Abrir
1679,575,2240,935,Abrir
2058,1023,2235,627,Abrir
1805,560,2255,614,Abrir
1905,461,2243,784,Abrir
2012,359,2226,889,Abrir
1535,906,2277,771,Abrir
1518,873,2221,720,Abrir
1535,1194,2214,827,Abrir
1588,591,2285,815,Abrir
1149,592,2234,913,Abrir
1825,959,2247,973,Abrir
2274,1682,2242,677,Abrir
2160,1102,2277,661,Abrir
630,1019,2250,589,Abrir
1406,511,2224,547,Abrir
1757,1008,2236,343,Abrir
1520,240,2270,121,Abrir
1443,310,2266,16,Abrir
1857,565,2263,59,Abrir
1607,64,2294,0,Abrir
820,0,2282,0,Abrir
687,0,2257,0,Abrir
1060,89,2244,0,Abrir
605,0,2252,55,Abrir
1043,171,2278,198,Abrir
1373,0,2253,336,Abrir
1792,0,2269,243,Abrir
1140,0,2277,192,Abrir
311,0,2275,75,Abrir
33,0,2237,72,Abrir
617,0,2270,0,Abrir
1315,0,2218,52,Abrir
370,0,2247,19,Abrir
1074,0,2226,15,Abrir
590,478,2273,29,Abrir
464,7,2256,56,Abrir
1284,0,2263,240,Abrir
451,0,2259,270,Abrir
61,0,2247,338,Abrir
1229,406,2247,277,Abrir
340,382,2262,353,Abrir
1089,671,2296,582,Abrir
303,663,2241,934,Abrir
108,802,2244,1056,Abrir
1002,646,2250,1006,Abrir
400,395,2288,953,Abrir
90,370,2256,1119,Abrir
46,338,2256,985,Abrir
7,199,2240,727,Abrir
0,180,2282,960,Abrir
0,101,2242,1038,Abrir
0,109,2270,1057,Abrir
0,177,2254,832,Abrir
302,96,2280,685,Abrir
80,560,2246,733,Abrir
1141,441,2205,704,Abrir
1241,493,2251,679,Abrir
371,453,2270,511,Abrir
1505,140,2248,498,Abrir
1398,320,2271,378,Abrir
1513,704,2269,576,Abrir
1099,237,2288,479,Abrir
644,729,2268,535,Abrir
1321,995,2267,537,Abrir
1670,594,2256,497,Abrir
1719,810,2265,365,Abrir
1131,571,2238,692,Abrir
1699,697,2249,485,Abrir
1360,801,2257,335,Abrir
1478,543,2278,221,Abrir
1630,1151,2261,298,Abrir
1653,915,2253,197,Abrir
2364,576,2256,209,Abrir
1898,403,2249,144,Abrir
1790,822,2241,0,Abrir
1677,451,2228,0,Abrir
1633,866,2250,0,Abrir
1316,462,2276,0,Abrir
783,685,2273,0,Abrir
1339,855,2250,0,Abrir
735,368,2251,0,Abrir
1911,307,2237,0,Abrir
2128,10,2251,0,Abrir
1259,0,2274,0,Abrir
1355,188,2299,0,Abrir
1232,0,2238,0,Abrir
754,734,2226,0,Abrir
944,75,2219,0,Abrir
1653,256,2235,0,Abrir
1584,805,2308,0,Abrir
1707,470,2273,0,Abrir
1474,326,2225,112,Abrir
1570,0,2237,80,Abrir
2169,623,2259,146,Abrir
